"%Inc Armour from Tree","방어 증가%(트리)"
"Projectiles deal 10% more Damage for each remaining Chain","Projectiles deal 10% more Damage for each remaining Chain"
"Recharge began Recently","피해를 받아도 중단되지 않음"
"Recover 2% of Energy Shield on Kill","Recover 2% of Energy Shield on Kill"
"Recover 2% of Mana on Kill","처치 시 마나의 2% 회복"
"Recover 25% of Life and Mana when you use a Warcry","Recover 25% of Life and Mana when you use a Warcry"
"Regenerate 0.2% of Life per second per Endurance Charge","인내 충전 하나당 1초마다 생명력의 0.2% 재생"
"Regenerate 0.4% of Life per second","초당 생명력의 0.4% 재생"
"Regenerate 0.5% of Life per second per Endurance Charge","인내 충전 하나당 1초마다 생명력의 0.5% 재생"
"Regenerate 0.6% of Life per second","초당 생명력의 0.6% 재생"
"Regenerate 2% of Energy Shield per second for each","최근 4초 이내 플레이어 또는 소환수가 처치한 적 하나당"
"Regenerate 2% of Life per Second for each Trap Triggered Recently, up to 10% per second","4초 이내 발동된 덫 하나당 1초마다 생명력의 2% 재생, 최대 10% 재생"
"Regenerate 1.5% of Life per second while affected by a Guard Skill Buff","수호 스킬 버프의 영향을 받는 동안 1초마다 생명력의 1.5% 재생"
"Regenerate 1.8% of Life per second","초당 생명력의 1.8% 재생"
"Regenerate 15 Mana per second if you've used a Movement Skill Recently","Regenerate 15 Mana per second if you've used a Movement Skill Recently"
"Regenerate 2 Mana per second","Regenerate 2 Mana per second"
"Regenerate 2% of Life per second for each Mine Detonated Recently, up to 10% per second","4초 이내 폭발한 지뢰 하나당 1초마다 생명력의 2% 재생, 최대 10% 재생"
"Regenerate 200 Energy Shield per Second while on Consecrated Ground","Regenerate 200 Energy Shield per Second while on Consecrated Ground"
"Removes all mana. Spend Life instead of Mana for Skills","모든 마나를 제거, 스킬 사용 시 마나 대신 생명력 소모"
"Share Endurance, Frenzy and Power Charges with nearby party members","주변의 파티원과 인내, 격분 및 권능 충전 공유"
"Shocks from your Hits always increase Damage taken by at least 15%","피격되어 감전된 적이 받는 피해가 항상 최소 15%만큼 증가"
"Skills Chain +1 times","스킬 연쇄 +1회"
"Skills used by Mines deal 30% increased Area Damage if you Detonated a Mine Recently","최근 4초이내 지뢰를 폭발시켰을 경우 지뢰로 인해 사용된 스킬이 주는 범위 피해 30% 증가"
"Skills used by Mines have 10% increased Area of Effect if you Detonated a Mine Recently","최근 4초 이내 지뢰를 폭발시켰을 경우 지뢰로 인해 사용된 스킬의 효과 범위 10% 증가"
"Skills used by Traps have 20% increased Area of Effect","Skills used by Traps have 20% increased Area of Effect"
"Spell Skills have 10% increased Area of Effect","주문 스킬의 효과 범위 10% 증가"
"Spells Cast by Totems have 3% increased Cast Speed","토템의 주문 시전 속도 3% 증가"
"Spells Cast by Totems have 6% increased Cast Speed","토템의 주문 시전 속도 6% 증가"
"Teal","청록빛"
"to 40% increased Damage with Hits to targets","대상 명중 시 피해 최대 40% 증가"
"Totems gain +10% to all Elemental Resistances","토템의 모든 원소 저항 +10%"
"Totems have 10% additional Physical Damage Reduction","토템의 받는 물리 피해 10% 추가 감소"
"Traps cannot be Damaged for 5 seconds after being Thrown","투척한 덫이 5초 동안 피해 면역"
"Violet","보라빛"
"While there is at least one nearby Ally, you and nearby Allies deal 10% more Damage","주변에 동료가 하나 이상인 경우 자신 및 주변 동료들이 주는 피해 10% 증폭"
"With at least one nearby corpse, you and nearby Allies deal 10% more Damage","주변의 시신이 하나 이상일 경우 자신 및 주변 동료들이 주는 피해 10% 증폭"
"You and your Totems Regenerate 1% of Life per second per Totem","자신 및 자신의 토템이 소환된 토템 하나당 1초마다 생명력의 1% 재생"
"You can't deal Damage with Skills yourself","스킬의 사용하여 스스로 피해를 줄 수 없음"
"You gain 8% increased Damage for each Trap","You gain 8% increased Damage for each Trap"
"You lose Virulence 50% slower","You lose Virulence 50% slower"
"Your Non-Banner Skills that create Permanent Auras on you do not Reserve Mana","자신에게 영구적인 오라를 적용하는 비-깃발 스킬은 마나를 점유하지 않음"
"Cast Time","시전 시간"
"Cooldown Time","쿨타임"
"{0}% more Chaos Damage","카오스 피해 {0}% 증폭"
"per second, up to 50 per second","1초마다 마나 5 재생, 최대 50 재생"
"5% reduced Effect of Chill and Shock on you","플레이어에게 적용되는 냉각 및 감전 효과 5% 감소"
"10% increased Area of Effect of Hex Skills","사술 스킬 효과 범위 10% 증가"
"15% increased Effect of Lightning Ailments","번개 상태 이상 효과 15% 증가"
"Attacks per Second","초당 공격 횟수"
"Sockets","소켓"
"{0}% increased Effect of Lightning Ailments","번개 상태 이상 효과 {0}% 증가"
"{0}% increased Duration of Lightning Ailments","번개 상태 이상 지속시간 {0}% 증가"
"Gain 1 Endurance Charge every second if you've used a Warcry Recently","최근 4초 이내 함성을 사용한 경우 1초마다 인내 충전 1개 획득"
"Warcries grant 10 Rage per 5 Power if you have less than 25 Rage","격노가 25 미만인 경우 함성이 위세 5당 10의 격노 생성"
"Brand Recall has {0}% increased Cooldown Recovery Rate","낙인 소환의 재사용 대기시간 회복 속도 {0}% 증가"
"Grants 1 Passive Skill Point","패시브 스킬 포인트 1 포인트 제공"
"Exposure you inflict applies an extra -20% to the affected Resistance","플레이어가 유발하는 노출이 영향을 받는 저항에 -20% 추가"
"Exposure you inflict applies an extra {0}% to the affected Resistance","플레이어가 유발하는 노출이 영향을 받는 저항에 {0}% 추가"
"Recover {0}% of Life when you use a Flask","플라스크 사용 시 생명력의 {0}% 회복"
"{0}% increased Effect of your Marks","플레이어의 징표 효과 {0}% 증가"
"You and nearby Allies have Tailwind","자신 및 주변 동료들이 순풍 획득"
"Chance to Block Spell Damage is doubled","주문 피해 막기 확률 2배"
"Exerted Attacks deal 20% increased Damage","전력 공격이 주는 피해 20% 증가"
"12% increased Warcry Cooldown Recovery Rate","함성 재사용 대기시간 회복 속도 12% 증가"
"20% increased Damage for each time you've Warcried Recently","최근 4초 이내 함성 사용 횟수 하나당 피해 20% 증가"
"Attacks with One Handed Melee Weapons deal 25% increased Damage with Ailments","한손 근접 무기 공격으로 주는 상태 이상 피해 25% 증가"
"20% increased total Power counted by Warcries","함성이 적용된 총 위세 20% 증가"
"Maximum Damage Reduction for any Damage Type is 50%","모든 피해 유형에 대한 피해 감소의 최대치는 50%"
"their Maximum Life as Physical Damage","최대 생명력의 10%를 물리 피해로 줌"
"do not have Adrenaline","20초 동안 아드레날린 획득"
"and nearby Allies have +1000 to Armour","주변 동료들의 방어도 +1000"
"each Impale on Enemy","물리 피해 6~12 추가"
"20% more Damage with Hits and Ailments against Unique Enemies","고유 적에 대한 적중 및 상태 이상 피해 20% 증폭"
"Inflict 4 additional Impales on Enemies you Impale","자신이 뛔뚫은 적에게 꿰뚫기 4회 추가 부여"
"8% increased Attack Damage while Dual Wielding","쌍수 사용 시 공격 피해 8% 증가"
"Guard Skills have 15% increased Duration","수호 스킬의 지속 시간 15% 증가"
"Call of Steel has 15% increased Use Speed","강철의 부름 사용 속도 15% 증가"
"Call of Steel has 30% increased Use Speed","강철의 부름 사용 속도 30% 증가"
"Warcries Exert 1 additional Attack","함성 사용 시 전력 공격 1회 추가"
"Projectiles have 30% chance to be able to Chain when colliding with terrain","투사체가 지형과 충돌 시 30%의 확률로 연쇄"
"15% increased Damage while in Blood Stance","핏빛 태세에서 주는 피해 15% 증가"
"30% increased Damage while in Blood Stance","핏빛 태세에서 주는 피해 30% 증가"
"10% increased Attack Speed if you've changed Stance Recently","최근 4초 이내 태세를 바꾼 경우 공격 속도 10% 증가"
"30% increased Cooldown Recovery Rate for Stance Skills","태세 스킬의 재사용 대기시간 회복 속도 30% 증가"
"15% increased Effect of Tailwind on you per Gale Force","강풍의 힘 하나당 자신에게 적용되는 순풍 효과 15% 증가"
"3% less Damage taken per Gale Force","강풍의 힘 하나당 받는 피해 3% 감폭"
"Projectiles have 50% chance for an additional Projectile when Forking","투사체가 갈라질 때 50%의 확률로 투사체 1개 추가 생성"
"15% increased Chaining range","연쇄 범위 15% 증가"
"50% reduced Projectile Fork angle","투사체 갈래 각도 50% 감소"
"+3% chance to Evade Attack Hits","공격 적중 회피 확률 +3%"
"30% increased Critical Strike Chance against Marked Enemy","징표가 찍힌 적에 대한 치명타 확률 30% 증가"
"Marked Enemy grants 30% increased Flask Charges to you","징료가 찍힌 적이 부여하는 플라스크 충전량 30% 증가"
"+10% to Attack Critical Strike Multiplier while Dual Wielding","쌍수 사용 시 공격 치명타 피해 배율 +10%"
"20% increased Damage with Hits and Ailments against Marked Enemy","징표가 찍힌 적에 대한 적중 및 상태 이상 피해 20% 증가"
"40% less Evasion Rating if you haven't been Hit Recently","최근 4초 이내 피격되지 않은 경우 회피 40% 감폭"
"Show gem quality variants:","대체 퀄리티 젬 표시:"
"Divergent","상이한"
"Variant:","유형:"
"Blind Enemies on Hit","명중 시 적 실명 유발"
"reducing Movement Speed by 40%","이동 속도 40% 감소"
"Mines have a 10% chance to be Detonated an Additional Time","지뢰가 10%의 확률로 1회 추가 폭발"
"Attacks with One Handed Weapons deal 30% increased Damage with Ailments","한손 무기 공격으로 주는 상태 이상 피해 30% 증가"
"Attack Speed and Rage","공격 속도 및 격노"
"50% less maximum Total Recovery per Second from Life Leech","1초마다 생명력 흡수를 통해 획득하는 최대 총 회복량 50% 감폭"
"10% of Damage taken Recouped as Mana","받은 피해의 10%를 마나로 회복"
"You can only have one Permanent Aura on you from your Skills","자신의 스킬로 발생하는 영구적인 오라를 1개만 보유 가능"
"Auras from your Skills have 50% more Effect on you","자신의 오라 스킬이 효과 50% 증폭"
"Recover 20% of Mana over 1 second when you use a Guard Skill","수호 스킬 사용 시 1초 동안 마나의 20% 회복"
"While not on Full Life, Sacrifice 20% of Mana per Second to Recover that much Life","생명력이 최대가 아닐 경우, 1초마다 마나의 20%를 희생하여 그와 동일한 수치의 생명력 회복"
"5% reduced Mana Reservation of Curse Aura Skills","저주 오라 스킬의 마나 점유 5% 감소"
"Desecrate and Unearth have +2 to Maximum number of corpses allowed","모독과 발굴의 최대 시신 개수 +2"
"Spells which can gain Intensity have +1 to maximum Intensity","격렬함을 획득할 수 있는 주문의 격렬함 최대치 +1"
"10% increased Damage while wielding a Wand","마법봉 장착 시 피해 10% 증가"
"20% increased Duration of Cold Ailments","냉기 상태 이상 지속시간 20% 증가"
"10% increased Cooldown Recovery Rate for throwing Traps","덫 투척 재사용 대기시간 회복 속도 10% 증가"
"Enemies Poisoned by you have -5% to Chaos Resistance","플레이어가 중독을 유발한 적의 카오스 저항 -5%"
"Recently, up to 100%","치명타 확률 10% 증가, 최대 100%"
"Recently, up to 40%","치명타 피해 배율 +4%, 최대 40%"
"Wand Attacks deal 12% increased Damage with Hits and Ailments","마법봉 공격으로 주는 적중 및 상태 이상 피해 12% 증가"
"30% increased Duration of Cold Ailments","냉기 상태 이상 지속시간 30% 증가"
"Mana Reserved","마나 점유"
"and attacks. If you kill a shocked enemy, this skill","번개 피해를 추가하는 버프를 부여합니다. 감전된"
"enemies around you for a duration. The damage","동안 번개 화살이 주변의 적들을 공격합니다. 이"
"spell damage.","합니다."
"Buff grants {0} to {1} Added Spell Lightning Damage","버프 시 주문 번개 피해 {0} ~ {1} 추가"
"Anomalous Herald of Thunder","기묘한 천둥의 전령"
"Buff grants {0}% increased Damage taken","버프 시 받는 피해 {0}% 증가"
"Anomalous Added Chaos Damage","기묘한 카오스 피해 추가 보조"
"Anomalous Added Cold Damage","기묘한 냉기 피해 추가 보조"
"Anomalous Added Fire Damage","기묘한 화염 피해 추가 보조"
"Anomalous Added Lightning Damage","기묘한 번개 피해 추가 보조"
"Anomalous Additional Accuracy","기묘한 정확도 추가 보조"
"Anomalous Advanced Traps","기묘한 향상된 덫 보조"
"Anomalous Ancestral Call","기묘한 선대의 부름 보조"
"Anomalous Ancestral Cry","기묘한 선대의 함성"
"Anomalous Ancestral Protector","기묘한 선대의 수호자"
"Phantasmal Ancestral Protector","몽환적인 선대의 수호자"
"Divergent Ancestral Warchief","상이한 선대 대전사"
"Anomalous Anger","기묘한 분노"
"Anomalous Animate Guardian","기묘한 수호자 기동"
"Anomalous Animate Weapon","기묘한 무기 기동"
"Phantasmal Animate Weapon","몽환적인 무기 기동"
"Divergent Arc","상이한 연쇄 번개"
"Anomalous Arcane Cloak","기묘한 비전의 망토"
"Anomalous Arcane Surge","기묘한 비전 쇄도 보조"
"Anomalous Arcanist Brand","기묘한 신비학자 낙인"
"Phantasmal Arcanist Brand","몽환적인 신비학자 낙인"
"Divergent Archmage","상이한 대마법사 보조"
"Divergent Arctic Armour","상이한 한기의 방어구"
"Divergent Armageddon Brand","상이한 종말의 낙인"
"Divergent Arrow Nova","상이한 화살 산개 보조"
"Divergent Artillery Ballista","상이한 포대 쇠뇌"
"Divergent Assassin's Mark","상이한 암살자의 징표"
"Divergent Ball Lightning","상이한 구형 번개"
"Divergent Ballista Totem","상이한 쇠뇌 토템 보조"
"Anomalous Bane","기묘한 파멸"
"Anomalous Barrage","기묘한 연발 사격"
"Phantasmal Barrage","몽환적인 연발 사격"
"Divergent Bear Trap","상이한 곰 덫"
"Anomalous Berserk","기묘한 광폭"
"Anomalous Blade Blast","기묘한 칼날 폭격"
"Phantasmal Blade Blast","몽환적인 칼날 폭격"
"Divergent Blade Flurry","상이한 질풍의 칼날"
"Divergent Blade Vortex","상이한 칼날 소용돌이"
"Anomalous Bladefall","기묘한 칼날비"
"Anomalous Bladestorm","기묘한 칼날태풍"
"Phantasmal Bladestorm","몽환적인 칼날태풍"
"Divergent Blasphemy","상이한 신성 모독 보조"
"Divergent Blast Rain","상이한 폭발 화살비"
"Anomalous Blastchain Mine","기묘한 연쇄 폭발 지뢰 보조"
"Anomalous Blazing Salvo","기묘한 맹렬한 포격"
"Anomalous Blight","기묘한 황폐"
"Anomalous Blind","기묘한 실명 보조"
"Anomalous Blink Arrow","기묘한 점멸 화살"
"Phantasmal Blink Arrow","몽환적인 점멸 화살"
"Anomalous Blood and Sand","기묘한 피와 모래"
"Anomalous Blood Magic","기묘한 혈마법 보조"
"Anomalous Blood Rage","기묘한 피의 격노"
"Anomalous Bloodlust","기묘한 유혈 충동 보조"
"Anomalous Bodyswap","기묘한 신체 전환"
"Phantasmal Bodyswap","몽환적인 신체 전환"
"Divergent Bone Offering","상이한 뼈 공물"
"Divergent Bonechill","상이한 사무치는 한기 보조"
"Anomalous Brutality","기묘한 포악함 보조"
"Anomalous Burning Arrow","기묘한 불타는 화살"
"Anomalous Burning Damage","기묘한 화상 피해 보조"
"Anomalous Cast On Critical Strike","기묘한 치명타 시 시전 보조"
"Anomalous Cast on Death","기묘한 사망 시 시전 보조"
"Anomalous Cast on Melee Kill","기묘한 근접 처치 시 시전 보조"
"Anomalous Cast when Damage Taken","기묘한 피격 시 시전 보조"
"Anomalous Cast when Stunned","기묘한 기절 시 시전 보조"
"Anomalous Cast while Channelling","기묘한 집중 유지 중 시전 보조"
"Anomalous Caustic Arrow","기묘한 부식성 화살"
"Anomalous Chain","기묘한 연쇄 보조"
"Anomalous Chain Hook","기묘한 사슬 갈고리"
"Anomalous Chance to Bleed","기묘한 출혈 확률 보조"
"Anomalous Chance to Flee","기묘한 도망칠 확률 보조"
"Divergent Charged Dash","상이한 충전 질주"
"Divergent Charged Mines","상이한 충전된 지뢰 보조"
"Divergent Charged Traps","상이한 충전된 덫 보조"
"Divergent Clarity","상이한 명상"
"Divergent Cleave","상이한 회전베기"
"Anomalous Close Combat","기묘한 근접 전투 보조"
"Anomalous Cluster Traps","기묘한 무리 덫 보조"
"Anomalous Cobra Lash","기묘한 코브라 채찍"
"Anomalous Cold Penetration","기묘한 냉기 관통 보조"
"Anomalous Cold Snap","기묘한 한파"
"Anomalous Cold to Fire","기묘한 냉기 화염 전환 보조"
"Anomalous Combustion","기묘한 연소 보조"
"Anomalous Concentrated Effect","기묘한 효과 집중 보조"
"Anomalous Conductivity","기묘한 전도성"
"Anomalous Consecrated Path","기묘한 축성의 진격"
"Phantasmal Consecrated Path","몽환적인 축성의 진격"
"Divergent Contagion","상이한 전염"
"Divergent Controlled Destruction","상이한 제어된 파괴 보조"
"Divergent Conversion Trap","상이한 전향 덫"
"Divergent Convocation","상이한 소집"
"Divergent Crackling Lance","상이한 치직대는 창"
"Anomalous Creeping Frost","기묘한 엄습하는 서리"
"Phantasmal Creeping Frost","몽환적인 엄습하는 서리"
"Divergent Cremation","상이한 시체 소각"
"Anomalous Culling Strike","기묘한 마무리 타격 보조"
"Anomalous Cyclone","기묘한 회오리바람"
"Phantasmal Cyclone","몽환적인 회오리바람"
"Divergent Damage on Full Life","상이한 최대 생명력 시 피해 보조"
"Divergent Dark Pact","상이한 어둠의 서약"
"Divergent Dash","상이한 질주"
"Divergent Deadly Ailments","상이한 치명적인 상태 이상 보조"
"Divergent Decay","상이한 부패 보조"
"Divergent Decoy Totem","상이한 미끼 토템"
"Anomalous Desecrate","기묘한 모독"
"Phantasmal Desecrate","몽환적인 모독"
"Divergent Despair","상이한 절망"
"Divergent Determination","상이한 결의"
"Divergent Detonate Dead","상이한 시체 폭발"
"Anomalous Devouring Totem","기묘한 포식 토템"
"Anomalous Discharge","기묘한 방출"
"Phantasmal Discharge","몽환적인 방출"
"Divergent Discipline","상이한 단련"
"Divergent Divine Ire","상이한 신성한 진노"
"Divergent Dominating Blow","상이한 지배의 강타"
"Anomalous Double Strike","기묘한 이중 타격"
"Anomalous Dread Banner","기묘한 공포의 깃발"
"Anomalous Dual Strike","기묘한 쌍수 타격"
"Phantasmal Dual Strike","몽환적인 쌍수 타격"
"Divergent Earthquake","상이한 지진"
"Anomalous Earthshatter","기묘한 지면 분쇄"
"Phantasmal Earthshatter","몽환적인 지면 분쇄"
"Divergent Efficacy","상이한 효력 보조"
"Divergent Elemental Army","상이한 원소의 군단 보조"
"Divergent Elemental Damage with Attacks","상이한 공격 시 원소 피해 보조"
"Divergent Elemental Focus","상이한 원소 집중 보조"
"Divergent Elemental Hit","상이한 원소의 일격"
"Anomalous Elemental Proliferation","기묘한 원소 확산 보조"
"Anomalous Elemental Weakness","기묘한 원소 약화"
"Anomalous Empower","기묘한 강화 보조"
"Divergent Endurance Charge on Melee Stun","상이한 기절 시 인내 충전 보조"
"Divergent Enduring Cry","상이한 인내의 함성"
"Divergent Energy Leech","상이한 에너지 흡수 보조"
"Divergent Enfeeble","상이한 쇠약화"
"Anomalous Enlighten","기묘한 계몽 보조"
"Divergent Ensnaring Arrow","상이한 올가미 화살"
"Divergent Essence Drain","상이한 정수 흡수"
"Divergent Ethereal Knives","상이한 천상의 단도"
"Divergent Explosive Arrow","상이한 폭발 화살"
"Divergent Explosive Trap","상이한 폭발 덫"
"Divergent Faster Attacks","상이한 공격 속도 증가 보조"
"Divergent Faster Casting","상이한 시전 속도 증가 보조"
"Divergent Faster Projectiles","상이한 투사체 속도 증가 보조"
"Divergent Feeding Frenzy","상이한 격분 주입 보조"
"Divergent Fire Penetration","상이한 화염 관통 보조"
"Divergent Fire Trap","상이한 화염 덫"
"Divergent Fireball","상이한 화염구"
"Anomalous Firestorm","기묘한 화염 폭풍"
"Anomalous Fist of War","기묘한 전쟁의 주먹 보조"
"Anomalous Flame Dash","기묘한 화염 질주"
"Anomalous Flame Surge","기묘한 화염 쇄도"
"Anomalous Flame Wall","기묘한 화염 벽"
"Phantasmal Flame Wall","몽환적인 화염 벽"
"Divergent Flameblast","상이한 화염파"
"Anomalous Flamethrower Trap","기묘한 화염방사기 덫"
"Anomalous Flammability","기묘한 인화성"
"Anomalous Flesh and Stone","기묘한 육체와 돌"
"Anomalous Flesh Offering","기묘한 살점 공물"
"Anomalous Flicker Strike","기묘한 점멸 타격"
"Anomalous Fork","기묘한 갈래 보조"
"Anomalous Fortify","기묘한 방어 상승 보조"
"Anomalous Freezing Pulse","기묘한 동결 파동"
"Anomalous Frenzy","기묘한 격분"
"Phantasmal Frenzy","몽환적인 격분"
"Divergent Frost Blades","상이한 서리 칼날"
"Divergent Frost Bomb","상이한 서리 폭탄"
"Anomalous Frost Shield","기묘한 서리 방패"
"Phantasmal Frost Shield","몽환적인 서리 방패"
"Divergent Frost Wall","상이한 서리 방벽"
"Divergent Frostbite","상이한 동상"
"Divergent Frostblink","상이한 서리점멸"
"Divergent Frostbolt","상이한 서리 구체"
"Anomalous Galvanic Arrow","기묘한 충격 화살"
"Anomalous General's Cry","기묘한 장군의 함성"
"Anomalous Generosity","기묘한 관대함 보조"
"Anomalous Glacial Cascade","기묘한 빙하 폭포"
"Anomalous Glacial Hammer","기묘한 빙하 망치"
"Anomalous Grace","기묘한 은총"
"Anomalous Greater Multiple Projectiles","기묘한 상위 다중 투사체 보조"
"Anomalous Greater Volley","기묘한 상위 사격 공세 보조"
"Anomalous Ground Slam","기묘한 대지 강타"
"Anomalous Haste","기묘한 가속"
"Phantasmal Haste","몽환적인 가속"
"Divergent Hatred","상이한 증오"
"Divergent Heavy Strike","상이한 묵직한 타격"
"Divergent Herald of Agony","상이한 고통의 전령"
"Divergent Herald of Ash","상이한 재의 전령"
"Divergent Herald of Ice","상이한 얼음의 전령"
"Divergent Herald of Purity","상이한 순수의 전령"
"Divergent Hexblast","상이한 사술 폭발"
"Anomalous Hextouch","기묘한 사술 손길 보조"
"Anomalous Holy Flame Totem","기묘한 신성한 화염 토템"
"Phantasmal Holy Flame Totem","몽환적인 신성한 화염 토템"
"Divergent Hydrosphere","상이한 물의 구체"
"Divergent Hypothermia","상이한 체온저하 보조"
"Divergent Ice Bite","상이한 얼음 쐐기 보조"
"Divergent Ice Crash","상이한 얼음 충격"
"Anomalous Ice Nova","기묘한 얼음 폭발"
"Phantasmal Ice Nova","몽환적인 얼음 폭발"
"Divergent Ice Shot","상이한 얼음 화살"
"Divergent Ice Spear","상이한 얼음 창"
"Anomalous Ice Trap","기묘한 얼음 덫"
"Anomalous Icicle Mine","기묘한 고드름 지뢰"
"Anomalous Ignite Proliferation","기묘한 점화 확산 보조"
"Anomalous Immolate","기묘한 번제 보조"
"Anomalous Immortal Call","기묘한 불멸의 외침"
"Anomalous Impale","기묘한 꿰뚫기 보조"
"Anomalous Impending Doom","기묘한 임박한 멸망 보조"
"Anomalous Incinerate","기묘한 소각"
"Anomalous Increased Area of Effect","기묘한 효과 범위 증가 보조"
"Anomalous Increased Critical Damage","기묘한 치명타 피해 증가 보조"
"Anomalous Increased Critical Strikes","기묘한 치명타 증가 보조"
"Anomalous Increased Duration","기묘한 지속시간 증가 보조"
"Anomalous Infernal Blow","기묘한 지옥불 강타"
"Phantasmal Infernal Blow","몽환적인 지옥불 강타"
"Divergent Infernal Cry","상이한 지옥불 함성"
"Anomalous Infernal Legion","기묘한 지옥불 군단 보조"
"Anomalous Infused Channelling","기묘한 깊어지는 집중 유지 보조"
"Anomalous Innervate","기묘한 자극 보조"
"Anomalous Inspiration","기묘한 영감 보조"
"Anomalous Intensify","기묘한 격화 보조"
"Phantasmal Intensify","몽환적인 격화 보조"
"Divergent Intimidating Cry","상이한 위협의 함성"
"Anomalous Iron Grip","기묘한 강철 손아귀 보조"
"Anomalous Iron Will","기묘한 강철의 의지 보조"
"Anomalous Item Rarity","기묘한 아이템 희귀도 보조"
"Divergent Kinetic Blast","상이한 역학 폭발"
"Divergent Kinetic Bolt","상이한 역학 투사체"
"Divergent Knockback","상이한 밀어내기 보조"
"Divergent Lacerate","상이한 연속 베기"
"Divergent Lancing Steel","상이한 강철 관통"
"Anomalous Leap Slam","기묘한 도약 강타"
"Phantasmal Leap Slam","몽환적인 도약 강타"
"Divergent Less Duration","상이한 지속시간 감소 보조"
"Divergent Lesser Multiple Projectiles","상이한 하급 다중 투사체 보조"
"Divergent Lesser Poison","상이한 하급 중독 보조"
"Divergent Life Gain on Hit","상이한 명중 시 생명력 획득 보조"
"Divergent Life Leech","상이한 생명력 흡수 보조"
"Divergent Lightning Arrow","상이한 번개 화살"
"Anomalous Lightning Penetration","기묘한 번개 관통 보조"
"Anomalous Lightning Spire Trap","기묘한 번개 첨탑 덫"
"Anomalous Lightning Strike","기묘한 번개 타격"
"Phantasmal Lightning Strike","몽환적인 번개 타격"
"Divergent Lightning Tendrils","상이한 덩굴 번개"
"Anomalous Lightning Trap","기묘한 번개 덫"
"Anomalous Lightning Warp","기묘한 번개 차원 이동"
"Phantasmal Lightning Warp","몽환적인 번개 차원 이동"
"Divergent Maim","상이한 힘줄 절단 보조"
"Divergent Malevolence","상이한 악의"
"Divergent Mana Leech","상이한 마나 흡수 보조"
"Divergent Meat Shield","상이한 육탄 방어 보조"
"Divergent Melee Physical Damage","상이한 근접 물리 피해 보조"
"Divergent Melee Splash","상이한 근접 범위 피해 보조"
"Divergent Minefield","상이한 지뢰밭 보조"
"Divergent Minion Damage","상이한 소환수 피해 보조"
"Divergent Minion Life","상이한 소환수 생명력 보조"
"Divergent Minion Speed","상이한 소환수 속도 보조"
"Divergent Mirage Archer","상이한 신기루 궁수 보조"
"Divergent Mirror Arrow","상이한 거울 화살"
"Anomalous Molten Shell","기묘한 용암 방패"
"Anomalous Molten Strike","기묘한 용암 타격"
"Phantasmal Molten Strike","몽환적인 용암 타격"
"Divergent Multiple Totems","상이한 다중 토템 보조"
"Divergent Multiple Traps","상이한 다중 덫 보조"
"Divergent Multistrike","상이한 연속타격 보조"
"Divergent Nightblade","상이한 밤의 칼날 보조"
"Divergent Onslaught","상이한 맹공 보조"
"Divergent Orb of Storms","상이한 폭풍 보주"
"Divergent Penance Brand","상이한 속죄의 낙인"
"Divergent Perforate","상이한 천공"
"Anomalous Pestilent Strike","기묘한 전염성 일격"
"Phantasmal Pestilent Strike","몽환적인 전염성 일격"
"Divergent Phase Run","상이한 위상 질주"
"Divergent Physical to Lightning","상이한 물리 번개 전환 보조"
"Divergent Pierce","상이한 관통 보조"
"Divergent Pinpoint","상이한 핵심 조준 보조"
"Divergent Plague Bearer","상이한 독성 운반자"
"Divergent Poacher's Mark","상이한 밀렵꾼의 징표"
"Divergent Point Blank","상이한 근접 사격 보조"
"Divergent Poison","상이한 중독 보조"
"Anomalous Power Charge On Critical","기묘한 치명타 시 권능 충전 보조"
"Anomalous Power Siphon","기묘한 권능 착취"
"Anomalous Precision","기묘한 정밀함"
"Anomalous Predator","기묘한 포식자 보조"
"Anomalous Pride","기묘한 자부심"
"Anomalous Pulverise","기묘한 분쇄 보조"
"Anomalous Puncture","기묘한 관통상"
"Phantasmal Puncture","몽환적인 관통상"
"Divergent Punishment","상이한 응징"
"Divergent Purifying Flame","상이한 정화의 불길"
"Anomalous Purity of Elements","기묘한 원소의 순수함"
"Anomalous Purity of Fire","기묘한 불의 순수함"
"Anomalous Purity of Ice","기묘한 얼음의 순수함"
"Anomalous Purity of Lightning","기묘한 번개의 순수함"
"Anomalous Pyroclast Mine","기묘한 화산탄 지뢰"
"Phantasmal Pyroclast Mine","몽환적인 화산탄 지뢰"
"Divergent Rage","상이한 격노 보조"
"Divergent Rain of Arrows","상이한 화살비"
"Anomalous Raise Spectre","기묘한 망령 소환"
"Phantasmal Raise Spectre","몽환적인 망령 소환"
"Divergent Raise Zombie","상이한 좀비 소환"
"Anomalous Rallying Cry","기묘한 집결의 함성"
"Phantasmal Rallying Cry","몽환적인 집결의 함성"
"Divergent Reave","상이한 약탈"
"Anomalous Reckoning","기묘한 역습"
"Phantasmal Reckoning","몽환적인 역습"
"Divergent Rejuvenation Totem","상이한 회복 토템"
"Divergent Righteous Fire","상이한 정의의 화염"
"Divergent Riposte","상이한 반격"
"Divergent Rolling Magma","상이한 몰려오는 마그마"
"Anomalous Ruthless","기묘한 무자비 보조"
"Anomalous Scorching Ray","기묘한 작열 광선"
"Anomalous Scourge Arrow","기묘한 재앙의 화살"
"Phantasmal Scourge Arrow","몽환적인 재앙의 화살"
"Divergent Searing Bond","상이한 불타는 굴레"
