"Life Regen","생명력 재생"
"Skills used by Totems have a {0} chance to Taunt on Hit","명중 시 토템에 의해 사용된 스킬이 {0}의 확률로 도발"
"Minions have {0} chance to Taunt on Hit with Attacks","소환수의 공격 명중 시 도발 확률 {0}"
"{0} more Critical Strike Chance against Enemies that are on Full Life","생명력이 최대인 적에 대한 치명타 확률 {0} 증폭"
"{0} increased Blind duration","실명 지속시간 {0} 증가"
"{0} more Critical Strike Chance against Enemies that are on Low Life","낮은 생명력 상태의 적에 대한 치명타 확률 {0} 증폭"
"{0} chance to gain an Endurance Charge on Kill with Off Hand","보조 무기로 처치 시 {0}의 확률로 인내 충전 획득"
"Auras from your Skills grant {0} increased Damage to you and Allies","자신의 오라 스킬이 플레이어 및 동료들에게 피해 {0} 증가 적용"
"Auras from your Skills grant {0} Physical Damage Reduction to you and Allies","자신의 오라 스킬이 플레이어 및 동료들에게 물리 피해 감소 {0} 적용"
"Auras from your Skills grant {0} increased Attack and Cast Speed to you and Allies","자신의 오라 스킬이 플레이어 및 동료들에게 공격 및 시전 속도 {0} 증가 적용"
"{0} increased Cooldown Recovery Rate for throwing Traps","덫 투척 재사용 대기시간 회복 속도 {0} 증가"
"{0} chance to gain Phasing for {1} seconds on Kill","처치 시 {0}의 확률로 {1}초 동안 차원 능력 획득"
"{0} Critical Strike Chance while at maximum Power Charges","최대 권능 충전 상태에서 치명타 확률 {0}"
"{0} increased Attack and Cast Speed if you've used a Movement Skill Recently","최근 4초 이내 이동 스킬을 사용한 경우 공격 및 시전 속도 {0} 증가"
"{0} chance to Recover {1} of Mana when you use a Skill","스킬 사용 시 {0}의 확률로 마나의 {1} 회복"
"{0} increased Mine Throwing Speed if you Detonated Mines Recently","최근 4초 이내 지뢰를 폭발시킨 경우 지뢰 투척 속도 {0} 증가"
"{0} increased Damage with Hits and Ailments against Bleeding Enemies","출혈 중인 적에 대한 적중 및 상태 이상 피해 {0} 증가"
"Bleeding Enemies you Kill Explode, dealing {0} of their Maximum Life as Physical Damage","출혈 중인 적을 처치하면 적이 폭발하여 최대 생명력의 {0}를 물리 피해로 줌"
"{0} increased Recovery Rate of Life, Mana and Energy Shield if you've Killed an Enemy affected by your Damage Over Time Recently","최근 4초 이내 지속 피해의 영향을 받은 적을 처치한 경우 생명력, 마나 및 에너지 보호막 회복 속도 {0} 증가"
"{0} chance to Avoid Elemental Ailments while on Consecrated Ground","신성화 지대에 있는 동안 {0}의 확률로 원소 상태 이상 회피"
"Non-Critical Strikes Penetrate {0} of Enemy Elemental Resistances","비-치명타 공격 시 적의 원소 저항 {0} 관통"
"Damage Penetrates {0} of Enemy Elemental Resistances","피해가 적 원소 저항의 {0}를 관통"
"{0} chance to double Stun Duration","{0}의 확률로 기절 지속시간 2배"
"{0} increased effect of Non-Curse Auras from your Skills","자신의 비-저주 오라 스킬 효과 {0} 증가"
"{0} increased Effect of Fortify on you","자신의 방어 상승 효과 {0} 증가"
"{0} increased Energy Shield Recharge Rate during any Flask Effect","플라스크 효과를 받는 동안 에너지 보호막 재충전 속도 {0} 증가"
"Damage with Weapons Penetrates {0} Chaos Resistance","무기 사용 시 피해가 {0}의 카오스 저항 관통"
"{0} chance to gain a Frenzy Charge when your Trap is triggered by an Enemy","자신의 덫이 적에 의해 발동되면 {0}의 확률로 격분 충전 획득"
"Monsters take {0} reduced Extra Damage from Critical Strikes","몬스터가 치명타로 받는 추가 피해 {0} 감소"
"{0} chance to gain a Power, Frenzy or Endurance Charge on Kill","처치 시 {0}의 확률로 권능, 격분 또는 인내 충전 획득"
"{0} additional Physical Damage Reduction during Flask Effect","플라스크 효과를 받는 동안 받는 물리 피해 {0} 추가 감소"
"{0} Chance to gain Elemental Conflux for {1} seconds when you Kill an Enemy","적 처치 시 {1}초 동안 {0}의 확률로 원소 합류 획득"
"{0} increased Power Siphon Damage","권능 착취 피해 {0} 증가"
"{0} increased Critical Strike Chance against Enemies on Full Life","생명력이 최대인 적에 대한 치명타 확률 {0} 증가"
"Minions deal {0} to {1} Added Lightning Damage","소환수가 주는 번개 피해 {0} ~ {1} 추가"
"Every {0} seconds, Regenerate {1} of Life over one second","{0}초마다 1초에 걸쳐 생명력의 {1} 재생"
"Enemies near your Totems deal {0} more Damage","플레이어의 토템에 근접한 적이 주는 피해 {0} 증폭"
"Enemies near your Totems deal {0} less Damage","플레이어의 토템에 근접한 적이 주는 피해 {0} 감폭"
"Enemies near your Totems take {0} increased Physical and Fire Damage","플레이어의 토템에 근접한 적이 받는 물리 및 화염 피해 {0} 증가"
"Enemies near your Totems take {0} reduced Physical and Fire Damage","플레이어의 토템에 근접한 적이 받는 물리 및 화염 피해 {0} 감소"
"{0} increased Bleeding Duration per {1} Intelligence","지능 {1}당 출혈 지속시간 {0} 증가"
"{0} increased Power Siphon Attack Speed","권능 착취 공격 속도 {0} 증가"
"{0} Chance to gain a Power Charge on Critical Strike with Ice Spear","얼음 창 치명타 명중 시 {0}의 확률로 권능 충전 획득"
"{0} increased Mana Regeneration if you've used a Movement Skill Recently","최근 4초 이내 이동 스킬을 사용한 경우 마나 재생 {0} 증가"
"to {0} increased Damage with Hits to targets","대상 명중 시 피해 최대 {0} 증가"
"Traps and Mines have a {0} chance to Poison on Hit","명중 시 덫 및 지뢰의 중독 확률 {0}"
"Second form has {0} to Critical Strike Multiplier","두 번째 형태의 치명타 피해 배율 {0}"
"Minions have {0} chance to Blind enemies on hit","명중 시 소환수가 적을 실명시킬 확률 {0}"
"{0} chance to Dodge Attack Hits if you've taken Spell Damage Recently","최근 4초 이내 주문 피해를 받은 경우 {0}의 확률로 공격 타격 완벽회피"
"{0} of Attack Damage Leeched as Mana against Poisoned Enemies","중독된 적에게 주는 공격 피해의 {0}를 마나으로 흡수"
"Kill Enemies that have {0} or lower Life when Hit by your Skills","플레이어의 스킬로 생명력이 {0} 이하인 적 처치"
"{0} more Damage if you've Killed Recently","최근4초 이내 적을 처치한 경우 피해 {0} 증폭"
"{0} increased Elemental Damage during any Flask Effect","플라스크 효과를 받는 동안 원소 피해 {0} 증가"
"{0} increased Physical Damage if you've Blocked Damage from a Unique Enemy in the past {1} seconds","지난 {1}초 이내에 고유 적의 피해를 막아낸 경우 물리 피해 {0} 증가"
"{0} more Physical Damage while at maximum Frenzy Charges","최대 격분 충전 상태에서 물리 피해 {0} 증폭"
"{0} reduced Physical Damage taken while at maximum Endurance Charges","최대 인내 충전 상태에서 받는 물리 피해 {0} 감소"
"{0} of Damage dealt by your Totems is Leeched to you as Life","자신의 토템이 주는 피해의 {0}를 생명력으로 흡수"
"{0} chance that if you would gain Endurance Charges, you instead gain up to your maximum number of Endurance Charges","인내 충전 획득 시 {0}의 확률로 인내 충전 최대치 획득"
"{0} chance to gain Phasing for {1} seconds when your Trap is triggered by an Enemy","자신의 덫이 적에 의해 발동되면 {1}초 동안 {0}의 확률로 차원 능력 획득"
"grant {0} increased Flask Charges","플라스크 충전량 {0} 증가"
"{0} increased Damage if you have Consumed a corpse Recently","최근 4초 이내 시신을 소모한 경우 피해 {0} 증가"
"Enemies Taunted by you deal {0} more Damage with Hits and Ailments against other targets","플레이어가 도발한 적이 다른 대상에게 주는 적중 및 상태 이상 피해 {0} 증폭"
"Enemies Taunted by you deal {0} less Damage with Hits and Ailments against other targets","플레이어가 도발한 적이 다른 대상에게 주는 적중 및 상태 이상 피해 {0} 감폭"
"{0} additional Physical Damage Reduction during any Flask Effect","모든 플라스크 효과를 받는 동안 받는 물리 피해 {0} 추가 감소"
"{0} increased Attack and Cast Speed during any Flask Effect","플라스크 효과를 받는 동안 공격 및 시전 속도 {0} 증가"
"{0} chance to Blind Enemies on Critical Strike","치명타 명중 시 {0}의 확률로 적 실명 유발"
"{0} chance to gain Elusive on Kill","처치 시 {0}의 확률로 도피 획득"
"{0} increased Critical Strike Chance with arrows that Fork","갈라진 화살의 치명타 확률 {0} 증가"
"{0} additional Physical Damage Reduction while stationary","정지 상태에서 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction from Hits per Siphoning Charge","착취 충전 하나당 받는 물리 피해 {0} 추가 감소"
"Recover {0} of Life when you use a Mana Flask","마나 플라스크 사용 시 생명력의 {0} 회복"
"{0} increased Damage per Crab Barrier","게의 방어막당 피해 {0} 증가"
"{0} chance to gain {1} of Non-Chaos Damage with Hits as Extra Chaos Damage","명중 시 {0}%의 확률로 비-카오스 피해의 {1}를 추가 카오스 피해로 획득"
"{0} increased Accuracy Rating if you haven't Killed Recently","최근에 적을 처치하지 않은 경우 정확도 {0} 증가"
"{0} increased Accuracy Rating if you've dealt a Critical Strike in the past {1} seconds","지난 {1}초 이내에 치명타를 준 경우 정확도 {0} 증가"
"{0} Chance to Block Attack Damage if you've dealt a Critical Strike Recently","최근 4초 이내 치명타 명중 시 공격 피해를 막아낼 확률 {0}"
"{0} Chance to Block Attack Damage for each time you've Blocked in the past {1} seconds","지난 {1}초 이내에 방어한 횟수 하나당 공격 피해를 막아낼 확률 {0}"
"{0} additional Physical Damage Reduction if you've Warcried in the past {1} seconds","지난 {1}초 이내에 함성을 시전한 경우 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction while Focussed","집중 상태에서 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction during Effect of any Life or Mana Flask","모든 생명력 및 마나 플라스크 효과를 받는 동안 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction if you weren't Damaged by a Hit Recently","최근에 타격되지 않은 경우 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction per Keystone","핵심 노드 하나당 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction per Minion, up to {1}","소환수 하나당 받는 물리 피해 {0} 추가 감소. 최대 {1}"
"{0} additional Physical Damage Reduction per Summoned Sentinel of Purity","소환된 정화의 파수꾼 하나당 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction against Abyssal Monsters","심연 몬스터에게 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction while affected by Determination","결의의 영향을 받는 동안 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction while affected by a Guard Skill Buff","방어 스킬 버프의 영향을 받는 동안 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction while Bleeding","출혈 상태에서 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction while Channelling","집중 유지 상태에서 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction while Frozen","동결 상태에서 받는 물리 피해 {0} 추가 감소"
"{0} additional Physical Damage Reduction while moving","이동 상태에서 받는 물리 피해 {0} 추가 감소"
"{0} increased Effect of Buffs granted by your Active Ancestor Totems","활성화한 선대의 토템이 주는 버프 효과 {0} 증가"
"Ancestor Totems have {0} increased Activation range","선대의 토템 작동 범위 {0} 증가"
"Ancestor Totems have {0} reduced Activation range","선대의 토템 작동 범위 {0} 감소"
"{0} chance to Cover Rare or Unique Enemies in Ash for {1} Seconds on Hit","명중 시 {1}초 동안 {0}의 확률로 희귀 또는 고유 적을 재로 덮음"
"If you've Consumed a corpse Recently, you and your Minions have {0} increased Area of Effect","최근 4초 이내 시신을 소모한 경우 자신과 소환수의 효과 범위 {0} 증가"
"If you've Consumed a corpse Recently, you and your Minions have {0} reduced Area of Effect","최근 4초 이내 시신을 소모한 경우 자신과 소환수의 효과 범위 {0} 감소"
"{0} increased Area of Effect per Endurance Charge","인내 충전 하나당 효과 범위 {0} 증가"
"{0} increased Area of Effect per Enemy killed recently, up to {1}","최근 4초 이내 처치한 적 하나당 효과 범위 {0} 증가, 최대 {1}"
"{0} increased Area of Effect while you have a Totem","토템이 있는 동안 효과 범위 {0} 증가"
"{0} increased Area of Effect while wielding a Bow","활 장착 시 효과 범위 {0} 증가"
"{0} increased Area of Effect while wielding a Staff","지팡이 장착 시 효과 범위 {0} 증가"
"Area Skills have {0} chance to Knock Enemies Back on Hit","범위 스킬 명중 시 {0}의 확률로 적을 밀어냄"
"Arrows gain Damage as they travel farther, dealing up to {0} increased Damage with Hits to targets","화살 이동 거리가 멀어질수록 대상 명중 시 피해 최대 {0} 증가"
"{0} increased Attack and Cast Speed during Effect of any Mana Flask","마나 플라스크 효과를 받는 동안 공격 및 시전 속도 {0} 증가"
"{0} increased Attack and Cast Speed while Leeching Energy Shield","에너지 보호막을 흡수하는 동안 공격 및 시전 속도 {0} 증가"
"Channelling Skills have {0} increased Attack and Cast Speed","집중 유지 스킬의 공격 및 시전 속도 {0} 증가"
"Channelling Skills have {0} reduced Attack and Cast Speed","집중 유지 스킬의 공격 및 시전 속도 {0} 감소"
"{0} more Attack and Movement Speed per Challenger Charge","도전자 충전 하나당 공격 및 이동 속도 {0} 증폭"
"{0} increased Critical Strike Chance for Attacks","공격 치명타 확률 {0} 증가"
"{0} increased Attack Damage when on Full Life","생명력이 최대일 때 공격 피해 {0}증가"
"{0} increased Attack Damage while you have Fortify","방어 상승 상태에서 공격 피해 {0} 증가"
"Channelling Skills deal {0} increased Attack Damage","집중 유지 스킬로 주는 공격 피해 {0} 증가"
"Channelling Skills deal {0} reduced Attack Damage","집중 유지 스킬로 주는 공격 피해 {0} 감소"
"{0} chance to Dodge Attack Hits from Cursed Enemies","{0}의 확률로 저주받은 적의 공격 적중 완벽회피"
"{0} chance to Dodge Attack Hits while Channelling","집중 유지하는 동안 {0}의 확률로 공격 명중 완벽회피"
"{0} more Attack Speed per Blitz Charge","공세 충전 하나당 공격 속도 {0} 증폭"
"Channelling Skills have {0} increased Attack Speed","집중 유지 스킬의 공격 속도 {0} 증가"
"Channelling Skills have {0} reduced Attack Speed","집중 유지 스킬의 공격 속도 {0} 감소"
"{0} chance to Blind Enemies on Hit with Attacks","공격 명중 시 {0}의 확률로 적 실명 유발"
"{0} chance to Impale Enemies on Hit with Attacks","공격 명중 시 {0}의 확률로 적 꿰뚫음"
"{0} chance to Impale Enemies on Hit with Two Handed Weapons","양손 무기로 적 명중 시 {0}의 확률로 적 꿰뚫음"
"{0} chance to Avoid Elemental Ailments while holding a Shield","방패를 들고 있는 동안 {0}의 확률로 원소 상태 이상 회피"
"{0} chance to Avoid Elemental Ailments per Summoned Golem","소환된 골렘 하나당 {0}의 확률로 원소 상태 이상 회피"
"{0} chance to Avoid being Frozen or Chilled if you have used a Fire Skill Recently","최근에 화염 스킬을 사용한 경우 {0}의 확률로 동결 또는 냉각 회피"
"{0} chance to Avoid being Shocked while Chilled","냉각 상태에서 {0}의 확률로 감전 회피"
"{0} chance to Avoid being Stunned while Channelling","집중 유지하는 동안 {0}의 확률로 기절 회피"
"{0} chance to Avoid being Stunned while holding a Shield","방패를 들고 있는 동안 {0}의 확률로 기절 회피"
"{0} increased Bleeding Duration","출혈 지속시간 {0} 증가"
"{0} increased Cooldown Recovery Rate","재사용 대기시간 회복속도 {0} 증가"
"{0} chance to inflict Cold Exposure on Hit","명중 시 {0}의 확률로 냉기 노출 유발"
"{0} of Physical Damage Converted to Cold Damage while affected by Hatred","증오의 영향을 받는 동안 물리 피해의 {0}를 냉기 피해로 전환"
"{0} of Physical Damage Converted to Fire Damage while affected by Anger","분노의 영향을 받는 동안 물리 피해의 {0}를 화염 피해로 전환"
"Gain {1} Rage on Hit with Attacks, no more than once every {0} seconds","공격 명중 시 {0}초마다 격노 {1} 획득"
"Exerted Attacks deal {0} more Damage if a Warcry Sacrificed Rage Recently","최근 4초 이내 함성으로 격노를 소모한 경우 전력 공격이 주는 피해 {0} 증폭"
"{0} increased Damage with Bleeding per Endurance Charge","인내 충전 하나당 출혈 피해 {0} 증가"
"{0} increased Damage with Bleeding you inflict on Maimed Enemies","힘줄 절단된 적에게 주는 출혈 피해 {0} 증가"
"{0} increased Damage with Bleeding inflicted on Poisoned Enemies","중독된 적에게 출혈을 유발하는 피해 {0} 증가"
"Brands have {0} more Activation Frequency if {1} of Attached Duration expired","부착 지속시간의 {0}가 경과하면 낙인의 활성화 빈도 {1} 증폭"
"Caustic Arrow deals {0} increased Damage over Time","부식성 화살이 주는 지속 피해 {0} 증가"
"Damage Cone has {1} Radius per {0} Rage","격노 {0}당 피해 부채꼴 범위 +1"
"{0} increased Chaining range","연쇄 범위 {0} 증가"
"{0} chance to deal Double Damage","{0}의 확률로 두 배의 피해를 줌"
"{0} chance to Dodge Attack Hits while at maximum Blade Flurry stages","질풍의 칼날 최대 단계에서 {0}의 확률로 공격 타격 완벽회피"
"{0} chance to Dodge Attack Hits per Endurance Charge","인내 충전 하나당 {0}의 확률로 공격 타격 완벽회피"
"{0} chance to Dodge Attack Hits per Power Charge","권능 충전 하나당 {0}의 확률로 공격 타격 완벽회피"
"{0} chance to Dodge Attack Hits while affected by Grace","은총의 영향을 받는 동안 {0}의 확률로 공격 타격 완벽회피"
"{0} chance to Dodge Attack Hits while your Off Hand is empty","보조 무기가 없을 시 {0}의 확률로 공격 타격 완벽회피"
"{0} chance to Defend with Double Armour","{0} 확률로 2배의 방어도로 방어"
"{0} chance to Evade Attack Hits","공격 적중 회피 확률 {0}"
"Projectiles have {0} chance for an additional Projectile when Forking","투사체가 갈라질 때 {0}의 확률로 투사체 1개 추가 생성"
"{0} chance to gain an Endurance Charge when you Stun an Enemy","적 기절 시 {0}의 확률로 인내 충전 획득"
"{0} chance to gain a Frenzy Charge when you Block Attack Damage","공격 피해를 막아낼 시 {0}의 확률로 격분 충전 획득"
"{0} chance to gain Onslaught for {1} Seconds when you Hit a Rare or Unique Enemy","희귀 또는 고유 적 명중 시 {1}초 동안 {0}의 확률로 맹공 획득"
"Channelling Skills deal {0} increased Damage","집중 유지 스킬로 주는 피해 {0} 증가"
"Channelling Skills deal {0} reduced Damage","집중 유지 스킬로 주는 피해 {0} 감소"
"Channelling Skills deal {0} increased Damage per {1} Devotion","헌신 {1}당 집중 유지 스킬로 주는 피해 {0} 증가"
"Channelling Skills deal {0} reduced Damage per {1} Devotion","헌신 {1}당 집중 유지 스킬로 주는 피해 {0} 감소"
"{0} increased Chaos Damage per {1} maximum Mana, up to a maximum of {2}","최대 마나 {1}당 카오스 피해 {0} 증가, 최대 {2}"
"Chaos Skills have {0} chance to Hinder Enemies on Hit, with {1} reduced Movement Speed","카오스 스킬 명중 시 {0}의 확률로 적을 이동 방해하여 이동 속도 {1} 감소"
"{0} chance to Dodge Attack Hits if you have finished Channelling Charged Dash Recently","최근 4초 이내 충전 질주 집중 유지를 완료한 경우 공격 완벽회피 확률 {0}"
"{0} increased Effect of Chill","냉각 효과 {0} 증가"
"{0} increased Effect of Cold Ailments","냉기 상태 이상 효과 {0} 증가"
"Cold Spells have {0} of Physical Damage Converted to Cold Damage","냉기 주문으로 주는 물리 피해의 {0}를 냉기 피해로 전환"
"{0} increased Critical Strike Chance against Shocked Enemies","감전된 적에 대한 치명타 확률 {0} 증가"
"{0} increased Critical Strike Chance for Spells if you've Killed Recently","최근에 적을 처치한 경우 주문 치명타 확률 {0} 증가"
"{0} increased Critical Strike Chance for each Mine Detonated Recently, up to {1}","최근 4초 이내 폭발한 지뢰 하나당 치명타 확률 {0} 증가, 최대 {1}"
"{0} increased Critical Strike Chance against Marked Enemy","징표가 찍힌 적에 대한 치명타 확률 {0} 증가"
"{0} reduced Critical Strike Chance against Marked Enemy","징표가 찍힌 적에 대한 치명타 확률 {0} 감소"
"{0} increased Critical Strike Chance for Spells while Dual Wielding","쌍수 사용 시 주문 치명타 확률 {0} 증가"
"{0} increased Critical Strike Chance for Spells while holding a Shield","방패를 들고 있는 동안 주문 치명타 확률 {0} 증가"
"{0} increased Critical Strike Chance for Spells while wielding a Staff","지팡이 장착 시 주문 치명타 확률 {0} 증가"
"{0} to Critical Strike Multiplier for each Mine Detonated Recently, up to {1}","최근 4초 이내 폭발한 지뢰 하나당 치명타 피해 배율 {0}, 최대 {1}"
"{0} to Critical Strike Multiplier with Claws or Daggers","클로나 단검 사용 시 치명타 피해 배율 {0}"
"Critical Strikes Penetrate {0} of Enemy Elemental Resistances while affected by Zealotry","열광 상태에서 치명타가 적 원소 저항의 {0} 관통"
"Culling Strike against Marked Enemy","징표가 찍힌 적에게 마무리 타격 가능"
"{0} increased Effect of your Curses if you've spent {1} total Mana Recently","최근 4초 이내 사용한 마나가 {1} 이상일 경우 자신의 저주 효과 {0} 증가"
"Hexes you inflict have {0} to maximum Doom","플레이어가 유발하는 사술의 최대 멸망 {0}"
"Curse Skills have {0} increased Skill Effect Duration","저주 스킬의 스킬 효과 지속시간 {0} 증가"
"Curse Skills have {0} reduced Skill Effect Duration","저주 스킬의 스킬 효과 지속시간 {0} 감소"
"{0} increased Damage over Time while affected by a Herald","전령의 영향을 받는 동안 지속 피해 {0} 증가"
"{0} increased Damage Over Time with Attack Skills","공격 스킬의 지속 피해 {0} 증가"
"{0} increased Damage Over Time with Bow Skills","활 스킬의 지속 피해 {0} 증가"
"Herald Skills deal {0} increased Damage over Time","전령 스킬로 주는 지속 피해 {0} 증가"
"Damage Penetrates {0} Elemental Resistances against Chilled Enemies","냉각된 적에게 주는 피해가 {0}의 원소 저항 관통"
"{0} increased Damage with Hits and Ailments against Marked Enemy","징표가 찍힌 적에 대한 적중 및 상태 이상 피해 {0} 증가"
"{0} more Damage if you've lost an Endurance Charge in the past {1} seconds","지난 {1}초 이내 인내 충전을 잃은 경우 피해 {0} 증폭"
"{0} increased Damage if you have Shocked an Enemy Recently","최근 4초 이내 적을 감전시킨 경우 피해 {0} 증가"
"{0} increased Damage per {1} Dexterity","민첩 {1}당 피해 {0} 증가"
"{0} increased Damage per {1} Intelligence","지능 {1}당 피해 {0} 증가"
"{0} increased Damage per {1} Strength","힘 {1}당 피해 {0} 증가"
"{0} increased Damage per {1} Chance to Block Attack Damage","공격 피해 막기 확률 {1}당 피해 {0}% 증가"
"{0} increased Damage per {1} of your lowest Attribute","가장 낮은 능력치 {1}당 피해 {0} 증가"
"{0} increased Damage per Power Charge","권능 충전 하나당 피해 {0} 증가"
"{0} increased Damage for each time you've Warcried Recently","최근 4초 이내 함성 사용 횟수 하나당 피해 {0} 증가"
"{0} increased Damage while on Full Energy Shield","에너지 보호막이 최대일 때 피해 {0} 증가"
"{0} increased Damage while affected by a Herald","전령의 영향을 받는 동안 피해 {0} 증가"
"{0} increased Damage while in Blood Stance","핏빛 태세에서 주는 피해 {0} 증가"
"{0} increased Damage while you have a Summoned Golem","소환된 골렘 1개를 보유하는 동안 피해 {0} 증가"
"{0} of Damage is taken from Mana before Life while Focussed","집중 상태에서 받는 피해의 {0}를 생명력 대신 마나 소모"
"{0} increased Dexterity if Strength is higher than Intelligence","힘이 지능보다 높은 경우 민첩 {0} 증가"
"Only applies Hexes from Curse Skill Gems requiring Level {0} or lower","요구 레벨이 {0} 이하인 저주 스킬 젬의 사술만 적용 가능"
"{0} chance to Dodge Attack Hits while Focussed","집중 상태에서 {0}의 확률로 공격 타격 완벽회피"
"{0} chance to Dodge Attack Hits if you have Blocked Recently","최근 4초 이내 막아낸 경우 {0}의 확률로 공격 타격 완벽회피"
"{0} chance to Dodge Attack Hits while moving","이동 상태에서 {0}의 확률로 공격 타격 완벽회피"
"{0} chance to Dodge Attack Hits while holding a Shield","방패를 들고 있는 동안 {0}의 확률로 공격 타격 완벽회피"
"{0} increased Elemental Damage with Attack Skills","공격 스킬의 원소 피해 {0} 증가"
"{0} increased Elemental Damage with Attack Skills per Power Charge","권능 충전 하나당 공격 스킬의 원소 피해 {0} 증가"
"{0} increased Elusive Effect","도피 효과 {0} 증가"
"Exerted Attacks deal {0} increased Damage ","전력 공격이 주는 피해 {0} 증가"
"Exerted Attacks deal {0} reduced Damage","전력 공격이 주는 피해 {0} 감소"
"{0} chance to gain an Endurance Charge on Kill while holding a Shield","방패를 들고 있는 동안 처치 시 {0}의 확률로 인내 충전 획득"
"Enemies Poisoned by you have {0} to Chaos Resistance","플레이어가 중독을 유발한 적의 카오스 저항 {0}"
"You take {0} reduced Extra Damage from Critical Strikes while affected by Determination","결의의 영향을 받는 동안 치명타로 받는 추가 피해 {0} 감소"
"You take {0} reduced Extra Damage from Critical Strikes while you have no Power Charges","권능 충전이 없는 상태에서 치명타로 받는 추가 피해 {0} 감소"
"Bleeding you inflict deals Damage {0} faster","플레이어가 유발하는 출혈이 피해 {0} 가속"
"Poisons you inflict deal Damage {0} faster","플레이어가 유발하는 중독이 피해 {0} 가속"
"{0} to Fire Damage over Time Multiplier while Burning","화상 상태에서 지속 화염 피해 배율 {0}"
"Fire Spells have {0} of Physical Damage Converted to Fire Damage","화염 주문 물리 피해의 {0}를 화염 피해로 전환"
"Flamethrower Trap has {0} increased Skill Effect Duration","화염방사기 덫의 스킬 효과 지속시간 {0} 증가"
"Marked Enemy grants {0} increased Flask Charges to you","징료가 찍힌 적이 부여하는 플라스크 충전량 {0} 증가"
"Marked Enemy grants {0} reduced Flask Charges to you","징료가 찍힌 적이 부여하는 플라스크 충전량 {0} 감소"
"{0} increased Life Recovery from Flasks while affected by Vitality","활력의 영향을 받는 동안 플라스크로 회복하는 생명력 {0} 증가"
"{0} increased Projectile Fork angle","투사체 갈래 각도 {0} 증가"
"{0} reduced Projectile Fork angle","투사체 갈래 각도 {0} 감소"
"{0} increased Fortify Duration per {1} Strength","힘 {1}당 방어 상승 지속시간 {0} 증가"
"{0} chance to gain Arcane Surge when you Kill an Enemy","적 처치 시 {0}의 확률로 비전 쇄도 획득"
"Gain {0} increased Attack Speed for {1} seconds when you Kill a Rare or Unique Enemy","희귀 또는 고유 적 처치 시 {1}초 동안 공격 속도 {0} 증가"
"{0} chance to gain a Challenger Charge when you Hit a Rare or Unique Enemy while in Blood Stance","핏빛 태세에서 희귀 또는 고유 적 명중 시 {0}의 확률로 도전자 충전 획득"
"Gain {0} Endurance Charge every second if you've been Hit Recently","최근 4초 이내 피격된 경우 1초마다 인내 충전 {0}개 획득"
"{0} chance to gain a Frenzy Charge when you Hit a Rare or Unique Enemy","희귀 또는 고유 적 적중 시 {0}의 확률로 격분 충전 획득"
"Gain {0} increased Movement Speed for {1} seconds when you Kill an Enemy","적 처치 시 {1}초 동안 이동 속도 {0} 증가"
"{0} chance to gain Onslaught for {1} seconds when Hit","피격 시 {0}의 확률로 {1}초 동안 맹공 획득"
"{0} chance to Gain Onslaught for {1} seconds on Hit while at maximum Frenzy Charges","격분 충전 최대치 상태에서 명중 시 {1}초 동안 {0}의 확률로 맹공 획득"
"{0} of Total Physical Damage prevented from Hits in the past {1} seconds is Regenerated as Life per second","1초마다 지난 {1}초 동안의 피격에서 예방한 물리 피해의 {0}를 생명력으로 재생"
"{0} increased Effect of Buffs granted by your Golems","골렘이 제공하는 버프 효과 {0} 증가"
"{0} increased Effect of Buffs granted by your Golems per Summoned Golem","소환된 골렘 하나당 골렘이 제공하는 버프 효과 {0} 증가"
"Golems have {0} increased Maximum Life","골렘의 최대 생명력 {0} 증가"
"{0} more Damage with Bleeding","출혈 피해 {0} 증폭"
"{0} less Damage with Bleeding","출혈 피해 {0} 감폭"
"Guard Skills have {0} increased Cooldown Recovery Rate","수호 스킬의 재사용 대기시간 회복 속도 {0} 증가"
"Guard Skills have {0} reduced Cooldown Recovery Rate","수호 스킬의 재사용 대기시간 회복 속도 {0} 감소"
"Guard Skills have {0} increased Duration","수호 스킬의 지속 시간 {0} 증가"
"Guard Skills have {0} reduced Duration","수호 스킬의 지속 시간 {0} 감소"
"While there is at least one nearby Ally, you and nearby Allies deal {0} more Damage","주변에 동료가 하나 이상인 경우 자신 및 주변 동료들이 주는 피해 {0} 증폭"
"While there is at least one nearby Ally, you and nearby Allies deal {0} less Damage","주변에 동료가 하나 이상인 경우 자신 및 주변 동료들이 주는 피해 {0} 감폭"
