"# of Rampage Kills:","광란의 적 처치 횟수:"
"Ailment calculation mode:","질병 계산 방법:"
"while you have this buff, you gain Virulence, and","받는 동안 적을 중독시키면, 플레이어는 병독성을"
"summon an Agony Crawler minion that uses","획득하고, 동시에 투사체를 사용하여 범위 공격을"
"projectile and area attacks. You will lose Virulence","가하는 고통의 벌레를 소환합니다. 시간이 지나면"
"over time, at a rate which increases the more","병독성을 잃게 되며, 더 많은 병독성을 획득할수록"
"Virulence you have. The minion will die when you","더 빠르게 잃습니다. 병독성을 모두 잃으면 소환수는"
"have no Virulence.","사망합니다."
"Sacrifices a portion of your Life and Energy Shield","Vaal Righteous Fire. 시전자의 총 에너지 보호막과"
"to engulf you in magical fire that rapidly burns","생명력을 일부 희생하여, 일정 시간 동안 주변의 적들을"
"nearby enemies for a duration. Your spell damage is","마법 불꽃으로 빠르게 태웁니다. 효과를 시전하는 동안"
"substantially increased while under this effect.","적에게 가하는 주문 피해가 상당히 증가합니다."
"Channel this skill to move towards a targeted","Cyclone. 이 스킬에 집중을 유지하면,"
"location while spinning, building up stages while","회전하는 동안 목표 지점으로 이동하면서 주변"
"constantly attacking enemies in an area around","지역의 적들을 지속적으로 공격하고 단계를"
"you. While channelling this skill, you cannot be","형성합니다. 스킬에 집중을 유지하는 동안에는"
"knocked back.","밀려나지 않습니다."
"Summons an Ancestor Totem which attacks enemies","적을 근접 공격을 하는 선대의 토템을 소환합니다."
"with melee strikes while you're near it. Being near it","토템 근처에 있으면 공격 속도가 증가합니다."
"grants you more attack speed.","토템과 일정거리 이상 멀어지면 공격을 중단합니다."
"with a powerful slam while you're near it. Being near","토템과 가까이 있으면 시전자가 주는"
"it grants you more melee damage.","근접 피해가 증가합니다."
"with a powerful cascading slam while you're near it.","적이 멀리 떨어져 있을 경우, 적에게"
"If the enemies are far away, it will leap toward them","도약해 공격합니다. 토템과 가까이"
"as it slams. Being near it grants you more melee","있으면 시전자가 주는 근접 피해가 증가"
"damage.","합니다."
"Slams the ground at a targeted location. If an","Consecrated Path. 목표 지점의 지면을"
"enemy is near where you target, you'll teleport to it","강타합니다. 목표 지점 주위에 적이 있을 경우,"
"from a short distance away, slam, and create an","그곳으로 단거리 순간이동을 하며 충돌하여 신성화"
"area of consecrated ground. Can't be supported by","지대를 생성합니다. 연속타격 보조는 받을 수"
"Multistrike, and requires a Sword, Axe, Mace,","없습니다. 검이나 도끼, 철퇴, 셉터, 지팡이"
"Sceptre, Staff or Unarmed.","착용 혹은 비무장 상태여야 합니다."
"Fire arrows into the air that rain down around the","Toxic Rain. 허공으로 화살을 쏘면, 목표"
"targeted area, dealing damage to enemies they hit","지역 주위에 떨어져 내리며 명중한 적에게 피해를"
"and creating spore pods where they land. Each","주고 떨어진 곳에 포자 주머니를 만듭니다. 각 포자"
"spore pod deals chaos damage over time to nearby","주머니는 주변의 적들에게 지속 카오스 피해를 주고"
"enemies and slows their movement speed. The pods","이동 속도를 느리게 만듭니다. 주머니는 지속시간이"
"last for a duration before bursting, dealing area","경과하면 폭발하여 범위 피해를 주게"
"Channel to infuse an arrow with chaos, gaining","Scourge Arrow. 집중 유지로 화살에"
"stages while it is held. Release to fire it, leaving","카오스의 힘을 주입한 뒤 겨누고 있는 동안 단계를"
"spore pods in its wake. Each spore pod blooms,","획득합니다. 화살을 발사하면 지나가는 경로에 포자"
"firing thorn arrows, which travel for a short time","주머니를 남깁니다. 포자 주머니는 개별적으로"
"before dissipating. Modifiers that cause additional","만개함과 동시에, 가시 화살을 발사하며 잠시"
"projectiles to be fired will only apply to the initial","동안 날아가다 소멸합니다. 추가 투사체 발사"
"arrows, and the spore pods will be split between","속성 부여는 최초의 화살에만 적용되며, 포자"
"those arrows.","주머니는 해당 화살들에 분할됩니다."
"Performs a warcry, taunting nearby enemies to","함성을 질러 주변의 적들을"
"attack the user and exerting subsequent attacks.","도발해 시전자를 공격하게 하고, 이어지는 공격에"
"Covers enemies in ash, causing them to move slower","전력을 다합니다. 적들을 재로 뒤덮어 이동 속도를"
"and take increased fire damage. Affected enemies","느리게 만들고, 받는 화염 피해를  증가시킵니다."
"explode when they die, dealing fire damage in an","영향을 받은 적은 사망하면 폭발하여 범위 내에 화염"
"Deals attack damage in an area.","지역에 공격 피해를 줍니다."
"Performs a warcry, taunting all nearby enemies to","Enduring Cry. 함성을 질러 주변의 모든"
"attack the user and exerting subsequent strike","모든 적을 도발하여 시전자를 공격하게 하고"
"attacks. Grants a buff which gives you bonus","이어지는 타격 공격에 전력을 다합니다. 방어도와"
"armour and melee range.","근접 범위를 증가시키는 버프를 부여합니다."
"Animates a melee weapon or armour, attaching it to","Animate Guardian. 근접 무기와 방어구를"
"an invisible Guardian that fights by your side.","움직여 보이지 않는 수호자에게 착용시키고 시전자를"
"Animating multiple items attaches them to the same","위해 싸우게 합니다. 다수의 아이템을 움직이면 같은"
"Guardian. You cannot animate unidentified items.","수호자에게 부착됩니다. 미확인 아이템에는 사용할 수"
"Cannot be used by Traps or Mines.","없습니다. 덫이나 지뢰 스킬에는 적용되지 않습니다."
"Animates a Melee Weapon Item or Lingering Blade to","Animate Weapon. 근접 무기 아이템이나 지속되는"
"fight by your side. You cannot animate unidentified","칼날을 움직이게 만들어 시전자와 함께 싸우게 합니다."
"Weapons. Will not animate weapons with 6 sockets","미확인 무기에는 사용할 수 없습니다. 특별히 대상으로"
"unless specifically targeted. Cannot be used by","지정하지 않는 한 홈이 6개인 무기는 기동하지 않습니다."
"Traps or Mines.","덫이나 지뢰 스킬에는 적용되지 않습니다."
"An arc of lightning stretches from the caster to a","Arc. 시전자로부터 지정된 적에게 번개"
"targeted enemy and chains on to other nearby","줄기가 뻗어 나가 주변의 적들에게 옮겨가며,"
"enemies. Each time the main beam chains it will","연쇄될때마다 그 피해가 조금씩 감소합니다."
"also chain to a second enemy, but that secondary","번개 줄기의 연쇄효과는 첫 줄기에만 적용되며,"
"arc cannot chain further.","파생된 줄기에는 적용되지 않습니다."
"Creates a magical brand which can attach to a","Arcanist Brand. 주변의 적에게 자동"
"nearby enemy. It periodically activates while","부착되는 마법의 낙인을 생성합니다. 낙인은 부착된"
"attached, triggering linked spells. The brand will","동안 활성화되어 연결된 주문을 발동시킵니다. 낙인이"
"detach if the enemy dies.","부착된 적 사망 시 낙인은 자동 분리됩니다."
"Arcanist Brand Support","신비학자 낙인 보조"
"Supports spell skills that do not reserve mana.","마나를 점유하지 않는 주문 스킬을 지원합니다."
"Cannot support skills used by totems, traps or","토템, 덫 또는 지뢰에서 사용하는 스킬을 지원할"
"mines. Cannot modify the skills of minions.","수 없습니다. 소환 스킬에 적용할 수 없습니다."
"Fire an icy projectile that bursts on impact or when","Creeping Frost. 대상 지점에 도달하거나"
"reaching the targeted area, dealing area damage","충돌 시 폭발하는 얼음 투사체를 발사하여 범위"
"and creating a chilling area that deals cold damage","피해를 주고 지역을 냉각시켜 지속 냉기 피해를"
"over time. This area will creep across the ground","줍니다. 해당 지역은 지속시간이 끝날 때까지"
"towards nearby enemies until its duration expires.","적들을 찾아 이동합니다."
"attached, causing a fiery meteor to fall from the","동안 활성화되어 하늘에서 불타는 유성을 떨어트립니다."
"sky. The brand will detach if the enemy dies.","낙인이 부착된 적 사망 시 낙인은 자동 분리됩니다."
"Summons a ballista totem that propels a sequence","Artillery Ballista. 허공으로"
"of fiery arrows into the air. The arrows impact the","불타는 화살을 연속 발사하는 쇠뇌 토템을"
"ground in a line, each dealing area damage to","소환합니다. 화살은 지면에 일렬로 충돌하여"
"enemies around it.","각각 주변의 적들에게 범위 피해를 줍니다."
"Fires a slow-moving projectile that periodically","Ball Lightning. 움직이는"
"damages enemies in an area around it with bolts of","투사체를 시전해 적들에게 지속 번개"
"lightning.","피해를 줍니다."
"After a short preparation time, you attack","Barrage. 잠깐의 준비 시간 후"
"repeatedly with a ranged weapon. These attacks","원거리 무기로 빠르게 연속 사격합니다."
"have a small randomised spread. Only works with","이 공격은 무작위로 좁은 범위에 확산됩니다."
"Bows and Wands.","활과 마법봉으로만 사용할 수 있습니다."
"Deals spell damage in a targeted area. When this","Blade Blast. 목표 지역에 주문 피해를 줍니다."
"spell deals damage, if your Lingering Blades or","이 주문으로 피해를 줄 때 주변에 지속되는 칼날이나"
"Blade Vortex blades are nearby, it will detonate","칼날 소용돌이의 칼날이 있으면 그 칼날을 터뜨려 주변"
"them, dealing damage again in an area around","지역에 다시 피해를 줍니다. 이 방식으로 칼날을"
"them. Up to 50 Blades can be detonated this way.","최대 50개까지 터뜨릴 수 있습니다."
"This spell creates ethereal blades which orbit in an","Blade Vortex. 시전자 주변을"
"area around you, dealing damage every 0.6 seconds","맴도는 천상의 칼날을 만들어, 0.6초마다"
"to all enemies in their radius. As more blades are","반경 내의 적에게 피해를 줍니다."
"added, the damage becomes greater and more","칼날이 추가 될수록 더 많은 피해를"
"frequent.","줍니다."
"Ethereal weapons rain from the sky, dealing damage","Bladefall. 하늘에서 천상의 무기가 떨어져"
"to enemies in a sequence of volleys, each wider but","적들에게 피해를 주고, 매번 공격할 때마다 이전보다"
"less damaging than the last. Enemies can be hit","범위는 넓어지지만 피해는 줄어듭니다. 중첩되는"
"multiple times where these overlap.","지점에 있는 적들은 여러 번 공격당할 수 있습니다."
"Fires arrows up in the air, to rain down in an area.","Blast Rain. 여러 발의 화살을 허공으로"
"Each arrow deals area damage around where it","발사합니다. 발사된 화살들은 일정 범위에"
"lands, and they will all overlap on the targeted","떨어지며, 각 화살은 주변에 범위 피해를 주고"
"location.","모든 폭발은 목표 지점에 중첩됩니다."
"Fires projectiles which fly in an arc, exploding on","Blazing Salvo. 원호 형태로 날아가는"
"impact with either enemies or the ground near","투사체를 발사하고, 적이나 대상 지역"
"where you target. Targeting farther away causes","근처의 땅에 충돌 시 폭발시킵니다."
"the projectiles to spread out and land over a wider","대상 지역이 멀수록 투사체가 확산되어 더 넓은"
"Fires an arrow at the target destination. When the","Blink Arrow. 목표 지점에 화살을"
"arrow lands, you are teleported to it and a clone is","발사하여 땅에 떨어지면 플레이어는 그곳으로"
"summoned at your old location. The clone is a","순간이동하고 원래 지점에는 분신이 소환됩니다."
"minion that uses your bow and quiver.","분신은 플레이어의 활과 화살통을 사용하는 소환수입니다."
"Fires a projectile that will pierce through enemies to","Unearth. 적들을 관통하여 목표"
"impact the ground at the targeted location,","지점에 충돌한 후, 뼈 궁수 시체를"
"creating a Bone Archer corpse where it lands.","생성하는 투사체를 발사합니다."
"Fires a burning arrow that deals fire damage. If it","Burning Arrow. 화염 피해를 주는"
"ignites an enemy, it will also inflict an additional","불타는 화살을 발사합니다. 적이 점화될 경우"
"debuff for a duration, dealing burning damage","지속시간 동안 추가로 디버프를 유발해 점화"
"based on the magnitude of the ignite. This damage","규모에 기반한 화상 피해를 줍니다. 이"
"is not affected by your damage modifiers. Up to","피해는 플레이어의 피해 속성 부여에 영향을"
"five of these debuffs can apply simultaneously to","받지 않으며, 디버프는 적 하나당 최대 5회까지"
"an enemy.","중첩됩니다."
"Repeatedly hit enemies in a circle in front of you","Blade Flurry. 집중 유지 동안"
"while channelling, dealing damage to and around","전방의 원형 범위 내의 적들에게 피해를"
"the enemy. The damage is continually boosted while","줍니다. 집중 유지를 지속하는 동안 피해는"
"channelling. You unleash an additional hit for each","점차 증가합니다. 집중 유지가 끝나면 각"
"stage reached once the channelling ends. Requires","단계에 따라 추가로 적에게 피해를 줍니다."
"a Dagger, Claw or One-Handed Sword.","단검이나 클로, 한손 검이 필요합니다."
"Channel to project an illusion which you steer. You","Charged Dash. 집중 유지로 플레이어가 조종하는"
"gain stages while it moves, until it stops at a","환상을 투영합니다. 최대 거리에 도달해 멈출 때까지,"
"maximum total distance. Waves of area damage","환상이 움직이는 동안 단계를 획득합니다. 공격 속도에"
"frequently pulse along its path, based on your","비례해, 경로를 따라 범위 피해의 파도가 수시로 파동을"
"attack speed. Stop channelling to teleport to the","치게 됩니다. 집중 유지를 멈추면 환상이 있는 곳으로"
"illusion, dealing a final wave of damage.","순간이동하며, 마지막으로 피해의 파도를 방출합니다."
"The character swings their weapon (or both","Cleave. 무기(쌍수일 경우 2개 모두)를"
"weapons if dual wielding) in an arc, damaging","크게 휘둘러 범위 내 몬스터들에게"
"monsters in an area in front of them. Only works","피해를 줍니다. 도끼와 검으로만"
"with Axes and Swords.","사용할 수 있습니다."
"Fires a poisonous projectile based on your weapon","Cobra Lash. 적들 사이에 연쇄되는 맹독성"
"that will chain between enemies. Requires a Dagger","투사체를 발사합니다. 투사체는 무기별로 달라집니다."
"or Claw.","단검이나 클로가 필요합니다."
"Creates a sudden burst of cold in a targeted area,","Cold Snap. 대상 지역에 갑작스런 냉기"
"damaging enemies. This also creates an expanding","폭발을 일으켜 적에게 피해를 줍니다. 또한"
"area which is filled with chilled ground, and deals","넓은 범위의 지면을 냉각시켜 적에게 지속"
"cold damage over time to enemies. Enemies that die","냉기 피해를 줍니다. 스킬 지역에서 적이"
"while in the area have a chance to grant Frenzy","사망할 시 일정 확률로 격분 충전을 획득합니다."
"Charges. The cooldown can be bypassed by","격분 충전을 소모하면 해당 스킬을 즉시"
"expending a Frenzy Charge.","사용할 수 있습니다."
"Unleashes a vile contagion on enemies, dealing","Contagion. 대상 지역에 전염병을 일으켜"
"chaos damage over time. If an enemy dies while","지속 카오스 피해를 줍니다. 적이 전염병에 걸린"
"affected by Contagion, it spreads to other enemies.","상태로 사망 시 주변 다른 적들에게 전염됩니다."
"Cluster","스킬 군"
"Timeless","무궁한"
"Warstaff","전쟁 지팡이"
"Added Small Passive Skills grant: 10% increased Attack Damage","추가된 소형 패시브 스킬 효과: 공격 피해 10% 증가"
"Added Small Passive Skills grant: 12% increased Lightning Damage","추가된 소형 패시브 스킬 효과: 번개 피해 12% 증가"
"Throws a trap that, when triggered by an enemy,","Conversion Trap. 덫을 던져"
"converts that enemy to your side for a short","적이 발동시키면 해당 적을 잠시 동안"
"duration. Does not affect unique monsters or","아군으로 만듭니다. 고유 몬스터나"
"players.","플레이어에게는 영향을 주지 않습니다."
"A targeted corpse explodes, dealing area damage","Cremation. 시신이 폭발하여"
"and turning into a volcanic geyser, which will","범위 피해를 주고, 분화구가 되어"
"repeatedly unleash projectiles sequentially over the","지속시간 동안 주변 지역에 투사체를"
"surrounding area for a duration. The explosion of","발사합니다. 시신의 폭발은 주문"
"the corpse is not affected by modifiers to spell","피해 속성 부여에 영향을 받지 않으며"
"damage, and cannot be reflected.","반사할 수 없습니다."
"Violently destroys your body and recreates it at the","Bodyswap. 시전자의 몸을 난폭하게"
"location of a targeted enemy or corpse, dealing","파괴하면 대상 적이나 시신이 위치한 곳에"
"spell damage in an area at both locations. If there","재생되면서 양쪽 지점에 주문 피해를 줍니다."
"is no specific target, it will prioritise corpses over","특정한 대상이 없을 경우 적보다 시신을 우선합니다."
"enemies. If targeting a corpse, the corpse will also","시신을 대상으로 할 경우 해당 시신 또한"
"explode, dealing damage around it that is not","폭발하면서 그 주변에 피해를 줍니다. 이는 주문"
"affected by modifiers to spell damage, and cannot","피해 관련 속성 부여에 영향을 받지 않으며"
"be reflected. This spell cannot be repeated.","반사되지도 않습니다. 이 주문은 반복되지 않습니다."
"Release a beam which deals lightning damage to","Crackling Lance. 전방의 긴"
"enemies in a long area in front of you, and has","지역에 있는 적에게 번개 피해를 주고,"
"several smaller beams branch off from it at an","여러 개의 작은 광선으로 비스듬히 갈라져"
"angle, hitting more enemies to the sides.","양옆의 적을 추가로 적중하게 합니다."
"This spell removes some life from one of your","Dark Pact. 시전자나 대상 지점에"
"Skeleton minions near you or the targeted location","있는 해골 소환수 중 하나의 생명력 일부를"
"to deal chaos damage in an area around it. This","제거하고 주위에 카오스 피해를 줍니다."
"effect will chain to your other nearby skeletons. If","해당 효과는 근처에 있는 다른"
"you have no skeletons near you or the targeted","해골들에게 연쇄됩니다. 시전자 또는"
"location, it will sacrifice your own life to deal","근처에 해골이 없을 경우, 시전자의"
"damage instead.","생명력을 희생하여 피해를 줍니다."
"Applies a debuff to enemies in an area, which deals","Bane. 범위 내의 적들에게 지속 카오스"
"chaos damage over Time. Linked hex curses are also","피해를 주는 디버프를 겁니다. 해당 적들에게는"
"applied to those enemies. The debuff deals more","연결된 사술 저주도 적용됩니다. 이러한 방식으로"
"damage and lasts longer for each hex applied this","사술이 걸릴 때마다 주는 피해가 증폭되고 더"
"way.  This skill cannot be used by Totems, Traps, or","오랫동안 지속됩니다. 토템, 덫, 지뢰로는 이"
"Mines.","스킬을 사용할 수 없습니다."
"Performs a series of quick teleports towards a","Dash. 목표 지점으로 신속히 순간이동합니다."
"targeted location. If using the ""Attack in Place""","제자리 공격 옵션을 사용할 경우, 반대"
"option, the direction is reversed. Shares a cooldown","방향으로 움직입니다. 다른 점멸 스킬과 재사용"
"with other Blink skills.","대기시간을 공유합니다."
"Summons a totem that taunts nearby monsters to","Decoy Totem. 주변 몬스터들을 도발하여"
"attack it.","공격하게 만드는 토템을 소환합니다."
"Desecrates the ground, summoning corpses and","Desecrate. 지면을 훼손하고"
"dealing chaos damage to all enemies in the area.","시체를 소환하여 범위 내의 대상에게"
"The corpses will be chosen from the monsters in the","카오스 피해를 줍니다."
"current area and any Spectres that have existed in","시신들은 현재 지역의 적들 중에서"
"this instance.","선택됩니다."
"Targets a corpse, and deals spell damage to","Detonate Dead. 시신을 대상으로"
"enemies around the corpse, as well as causing the","시신을 폭발시켜 화염 피해와 주문"
"corpse to explode, dealing fire damage. The","피해를 줍니다."
"explosion is not affected by modifiers to spell","폭발은 주문 피해에 영향을 받지"
"damage and cannot be reflected.","않으며 반사할 수 없습니다."
"Detonates a Mine, starting a Detonation Sequence","Detonate Mines. 지뢰 하나를 폭발시키면"
"which will detonate other Mines around it.","주변 지뢰들이 연쇄 폭발합니다."
"Added Small Passive Skills grant: 12% increased Chaos Damage","추가된 소형 패시브 스킬 효과: 카오스 피해 12% 증가"
"Gale Joy","강풍의 기쁨"
"Brood Hope","영충 희망"
"Behemoth Eye","거대한 눈"
"Loath Eye","혐오스러운 눈"
"Viper Stone","독사의 돌"
"Pandemonium Glimmer","혼란 유발의 미광"
"Chimeric Shine","키메라의 광채"
"Armageddon Eye","아마겟돈의 눈"
"Added Small Passive Skills grant: 3% increased effect of Non-Curse Auras from your Skills","추가된 소형 패시브 스킬 효과: 자신의 비-저주 오라 스킬 효과 3% 증가"
"Added Small Passive Skills grant: 12% increased Cold damage","추가된 소형 패시브 스킬 효과: 냉기 피해 12% 증가"
"Added Small Passive Skills grant: 12% increased Trap damage","추가된 소형 패시브 스킬 효과: 덫 피해 12% 증가"
"Added Small Passive Skills grant: 12% increased Mine damage","추가된 소형 패시브 스킬 효과: 지뢰 피해 12% 증가"
"Added Small Passive Skills grant: Minions deal 10% increased Damage","추가된 소형 패시브 스킬 효과: 소환수 피해 10% 증가"
"Added Small Passive Skills grant: Minions deal 10%","추가된 소형 패시브 스킬 효과: 소환수 피해 10%"
"increased Damage","증가"
"Total DPS inc. Impale:","꿰뚫기 총 피해 증가:"
"Summons a totem that can consume nearby corpses.","Devouring Totem. 시전자가 피해를"
"If you are hurt, it will destroy a corpse to leech life","받을 경우 주변의 시신을 파괴하여 흡수한"
"to you.","생명력으로 시전자를 회복시켜주는 토템을 소환합니다."
"Discharge all the character's charges to deal","Discharge. 시전자의 모든 충전을"
"elemental damage to all nearby monsters.","방출하여 주변의 모든 적에게 원소 피해를 줍니다."
"Channelling draws in energy around you to","Divine Ire. 집중 유지 상태에서"
"repeatedly build up stages, damaging a number of","주변의 에너지를 끌어모아 단계를 증가시키며"
"nearby enemies when you do so. Release to unleash","다수의 근접한 적에게 피해를 줍니다."
"a powerful burst of energy in a beam in front of","집중 유지를 중단하면 시전자의 전방으로"
"you.","폭발적인 에너지를 방출합니다."
"Attacks enemies with a melee strike, applying a","Dominating Blow. 대상을 근접"
"debuff for a short duration. If a non-unique enemy","공격하여 짧은 시간 동안 디버프를 겁니다."
"dies while affected by the debuff, the enemy's","비-고유 적이 디버프가 걸린 채로 죽을"
"corpse will be consumed and a Sentinel of","경우 시신이 소모되어 동일한 희귀도 및"
"Dominance with the same rarity, prefix and suffix","접두어, 접미어 속성을 가진 지배의 파수꾼이"
"modifiers will be summoned for a longer secondary","소환됩니다. 이들은 보다 긴 별도의 지속시간을"
"duration.","가집니다."
"Performs two fast strikes with a melee weapon.","Double Strike.근접 무기를 빠르게 두번 휘둘러 공격합니다."
"Attacks with both weapons, dealing the damage of","Dual Strike. 양손의 무기로 한번에"
"both in one strike. Dual wield only. Does not work","공격하여 피해를 줍니다. 쌍수를 사용해야"
"with wands.","하며 마법봉은 해당되지 않습니다."
"Added Small Passive Skills grant: 12% increased Attack damage while Dual Wielding","추가된 소형 패시브 스킬 효과: 쌍수 사용 시 공격 피해 12% 증가"
"Added Small Passive Skills grant: 12% increased Attack damage","추가된 소형 패시브 스킬 효과: 공격 피해 12% 증가"
"while Dual Wielding","쌍수 사용 시"
"while holding a Shield","방패를 들고 있는 동안"
"Added Small Passive Skills grant: 12% increased Attack damage while holding a Shield","추가된 소형 패시브 스킬 효과: 방패를 들고 있는 동안 공격 피해 12% 증가"
"Smashes the ground, dealing damage in an area and","Earthquake. 지면을 강타해 범위 내에"
"cracking the earth. The crack will erupt in a","피해를 주고 대지에 균열을 생성합니다. 잠시후"
"powerful aftershock after a short duration. Cracks","균열은 여진을 일으킵니다. 첫 번째 여진이"
"created before the first one has erupted will not","발생하기 전의 균열은 여진을 발생시키지 않습니다."
"generate their own aftershocks. Requires an Axe,","도끼, 철퇴, 셉터, 지팡이 착용 혹은"
"Slam the ground, sending out rectangular fissures","Earthshatter. 지면을 강타하여 적에게"
"that deal area damage to enemies and thrust a","범위 피해를 주는 직사각형의 균열을 생성하고"
"spike from the ground when they end. Warcries or","균열이 사라지는 지점에서 가시를 방출합니다."
"other Slam Attacks performed by you or allied","가시 주변에서 자신 또는 동료가 함성이나 다른"
"players near any spike will cause them to shatter,","강타 스킬을 사용하면 가시가 산산조각 나서 주변"
"damaging surrounding enemies. Works with Maces,","적에게 피해를 줍니다. 철퇴, 셉터, 도끼, 지팡이"
"Sceptres, Axes, Staves and Unarmed.","착용 혹은 비무장 상태여야 합니다."
"Each attack with this skill will choose an element at","Elemental Hit. 스킬 사용 시 매"
"random, and will only be able to deal damage of","공격마다 무작위로 속성이 부여되며, 해당"
"that element. If the attack hits an enemy, it will","속성 피해를 줍니다. 공격 적중 시 범위"
"also deal damage in an area around them, with the","피해를 주며 해당 적이 선택된 속성의 상태"
"radius being larger if that enemy is suffering from","이상에 걸려있는 경우 범위와 피해가"
"an ailment of the chosen element. It will avoid","증폭됩니다. 연속해서 같은 속성이"
"choosing the same element twice in a row.","부여되지 않습니다."
"attack the user and granting endurance charges.","적을 도발해 시전자를 공격하게 하고, 인내 충전을"
"Gives a brief burst of life regeneration, as well as a","부여합니다. 잠시 생명력 재생 효과를 제공하고,"
"buff which grants resistances and physical damage","시전자의 인내 충전에 따라 저항 증가 및 물리 피해"
"reduction based on your endurance charges.","감소 효과가 있는 버프를 부여합니다."
"Fires a projectile that applies a damage over time","Essence Drain. 투사체를 발사하여"
"debuff when it hits. You are healed for a portion of","명중 시 지속 피해를 주는 디버프를 겁니다."
"the debuff damage. The debuff is spread by","시전자는 디버프 피해의 일정 비율만큼 치유됩니다."
"Contagion.","디버프는 전염에 의해 확산됩니다."
"Fires an arc of knives in front of the caster which","Ethereal Knives. 시전자 전방에 원호"
"deals physical damage.","형태로 단도를 던져 물리 피해를 줍니다."
"Fires an arrow which will stick into an enemy or","Explosive Arrow. 화살이 적이나 벽에"
"wall, and then explode, dealing area damage around","꽂힙니다. 이 화살은 일정 시간이 지나거나"
"it, either after a duration or when the maximum","꽂힌 화살 수가 최대치가 되면 폭발하여 그"
"number of arrows stuck to that target is reached. If","주변에 범위 피해를 줍니다. 적 1명에게"
"an enemy has multiple Explosive Arrows stuck in","다수의 폭발 화살이 꽂히면 첫 번째 화살이"
"them, the first one to explode will consume the","폭발할 때 다른 화살도 함께 폭발하여 추가"
"others, adding their damage to its explosion.","피해를 줍니다."
"Throws a trap that explodes when triggered, dealing","Fire Trap. 발동 시 폭발하여 주변"
"fire damage to surrounding enemies and leaving an","적들에게 화염 피해를 주고 용암 지대를"
"area of burning ground that damages enemies who","생성하는 덫을 던집니다. 용암 지대는 그"
"walk through it.","위를 지나가는 적에게도 피해를 줍니다."
"Unleashes a ball of fire towards a target which","Fireball. 대상에게 화염구를 사용할 경우"
"explodes, damaging nearby foes.","폭발하여 주변의 적들에게 화염 피해를 줍니다."
"Flaming bolts rain down over the targeted area.","Firestorm. 대상 지역에 화염의"
"They explode when landing, dealing damage to","화살이 쏟아져 폭발하며 주변의 적들에게"
"nearby enemies.","화염 피해를 줍니다."
"Teleport to a location, damaging enemies and","한 지점으로 순간이동하며 적들에게"
"leaving a trail of burning ground in your wake.","피해를 주고, 이동 경로를 따라 용암 지대를 형성합니다."
"Shares a cooldown with other Blink skills.","점멸 스킬과 재사용 대기시간을 공유합니다."
"Summons a totem that channels to fire a stream of","Holy Flame Totem. 주변의 적들에게"
"flame at nearby enemies, and creates an area of","불줄기를 지속해서 뿜어내는 토템을 소환합니다."
"consecrated ground around the totem.","소환된 토템 주변에는 신성화 지대를 생성됩니다."
"Strikes enemies in front of you with a surge of","Flame Surge. 전방의 대상들에게 피해를 줍니다."
"flame. Burning enemies are dealt more damage.","화상을 입은 적들은 더 많은 피해를 줍니다."
"Channels to build up a large explosion, which is","Flameblast. 집중을 유지하여 커다란"
"released when you stop using the skill. The longer","폭발지역을 만들어 내고, 스킬 사용을 중지하면"
"you channel, the larger the area of effect and","폭발하며 방출됩니다. 집중 유지를 지속할수록"
"damage of the explosion, up to 10 stages.","효과 범위와 폭발의 피해가 10단계까지 증가합니다."
"Throws a trap that releases a number of flames in","Flamethrower Trap. 발동 시"
"different directions around it when triggered. The","여러 방향으로 화염을 방출하는 덫을"
"flames last for a duration, rotating around the trap","투척합니다. 화염은 지속시간 동안 돌면서"
"and repeatedly dealing damage. Burning enemies","피해를 줍니다. 화상을 입은 적에겐 더 큰"
"are dealt more damage.","피해를 줍니다."
"Tip: Hold Shift or Ctrl to hide this tooltip.","팁 : 이 툴팁을 숨기려면 Shift 또는 Ctrl 키를 누르세요."
"Distance to start: {0}","시작부터 거리: {0}"
"An icy projectile which has a chance to freeze","Freezing Pulse. 직선 경로 내 적들을"
"enemies it passes through. The projectile fades","관통하며 일정 확률로 얼리는 얼음 투사체를 발사합니다."
"quickly, reducing damage and freezing chance until","투사체는 빠르게 소멸되며, 완전히 사라지기 전까지"
"it dissipates.","피해량과 동결 확률이 점차 감소합니다."
"Performs an attack that gives the character a","Frenzy. 명중 시 격분 충전"
"frenzy charge if it hits. Frenzy charges increase","효과를 획득합니다. 격분 충전 효과는"
"your attack speed.","공격 속도를 증가시킵니다."
"Attack enemies with increased range, releasing icy","Frost Blades. 공격 사거리가 늘어나며, 처음"
"blades from the first enemy hit which fly at other","타격당한 적에게서 얼음 칼날이 뚫고 나와 다른 적들에게"
"enemies. Requires a Melee Weapon.","날아갑니다. 근접 무기로만 사용할 수 있습니다."
"Fires a slow-moving projectile that pierces through","Frostbolt. 천천히 움직이는 투사체를"
"enemies, dealing cold damage.","시전하여 적들을 관통하고 냉기 피해를 줍니다."
"An icy blast explodes around the caster, dealing","Vortex. 시전자 주위에 얼음"
"cold damage to enemies, and leaving behind a","폭발을 일으켜 냉기 피해를 줍니다."
"whirling vortex which deals cold damage over time","또한 소용돌이를 남겨 지속 냉기"
"and chills enemies caught in it. If the caster targets","피해를 주고 적들을 냉각시킵니다."
"near their Frostbolt projectiles, it will explode from","시전자가 서리 구체 근처를 조준하게"
